STATE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
RI,6.0,6.0,6.0,6.0,7.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,10.0,12.0,14.0,15.0,17.0,18.0,21,27
SC,7.0,5.0,5.0,6.0,7.0,8.0,10.0,10.0,11.0,15.0,14.0,16.0,21.0,22.0,22.0,27.0,28.0,32.0,36,39
SD,0.0,0.0,0.0,5.0,5.0,10.0,13.0,15.0,16.0,17.0,17.0,17.0,22.0,25.0,28.0,29.0,29.0,34.0,34,36
TN,21.0,26.0,27.0,27.0,29.0,29.0,30.0,31.0,41.0,44.0,41.0,42.0,47.0,52.0,58.0,61.0,65.0,68.0,75,85
TX,64.0,67.0,68.0,77.0,86.0,110.0,141.0,159.0,181.0,203.0,215.0,211.0,280.0,330.0,383.0,439.0,450.0,497.0,577,665
UT,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,5.0,5.0,5.0,8.0,12.0,12.0,15.0,16.0,17.0,17,18
VA,70.0,73.0,86.0,89.0,98.0,105.0,127.0,151.0,163.0,184.0,195.0,204.0,240.0,268.0,297.0,310.0,313.0,332.0,356,399
VT,10.0,10.0,8.0,8.0,8.0,10.0,10.0,15.0,17.0,22.0,23.0,24.0,35.0,37.0,42.0,43.0,47.0,51.0,68,71
WA,163.0,182.0,231.0,268.0,325.0,376.0,454.0,527.0,578.0,629.0,662.0,687.0,804.0,849.0,915.0,989.0,985.0,1019.0,1091,1171
WI,20.0,24.0,26.0,27.0,29.0,35.0,40.0,41.0,48.0,56.0,63.0,61.0,88.0,103.0,113.0,131.0,138.0,139.0,149,168
WV,13.0,15.0,16.0,16.0,16.0,17.0,18.0,19.0,19.0,21.0,21.0,22.0,24.0,26.0,29.0,30.0,30.0,32.0,37,37
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,8.0,8.0,8,9
